,Seasonal_Recovery,Enhanced_Prophet,ML_Trend_Corrected,Historical_Seasonal_Avg,Corrected_Ensemble
2025-08-18,34.36869797232625,40.011924950795624,23.75520965023179,38.36,34.089585537034296
2025-08-19,40.01352547246247,40.53839121403423,23.781410076321595,38.36,35.97384708573112
2025-08-20,41.973625356596344,37.12950218241491,23.787125415554634,38.36,35.37019472471278
2025-08-21,43.1791697890615,37.69938723995909,23.79634370464018,38.36,35.93362239686418
2025-08-22,36.66453477780105,39.71008389742006,23.75963442899285,38.36,34.673798404685556
2025-08-23,34.593828057360675,35.10146289461531,23.75963442899285,38.36,32.43956903757178
2025-08-24,39.73180600239614,37.763476793900494,23.758159502739158,38.36,34.912298554268816
2025-08-25,38.517488904793986,36.63214385364152,23.75520965023179,38.36,34.151299432770685
2025-08-26,40.32245100374736,40.49074407621028,23.781410076321595,38.36,36.049848246878206
2025-08-27,39.924919176956756,39.98265374140934,23.787125415554634,38.36,35.754185916468955
2025-08-28,37.288931848797816,42.27206194946703,23.79634370464018,38.36,35.76698716311285
2025-08-29,37.9120026812936,37.05417391523572,23.75963442899285,38.36,34.118470281968804
2025-08-30,37.734609873214445,36.02985477406922,23.75963442899285,38.36,33.70674074013678
2025-08-31,37.76541980186049,34.47659823315064,23.758159502739158,38.36,33.17197519784567
2025-09-01,50.73633135675613,49.75442584577825,23.75520965023179,48.29,43.40275086560718
2025-09-02,48.245437714744945,51.80871926670467,23.781410076321595,48.29,43.38103557685052
2025-09-03,60.51854999522228,57.4503688230854,23.787125415554634,48.29,49.03897544053524
2025-09-04,47.14396637596789,50.84080536329898,23.79634370464018,48.29,42.71555771610506
2025-09-05,45.41566569103624,40.278981950784164,23.75963442899285,48.29,38.49125199733355
2025-09-06,44.76560462325638,52.54910111491468,23.75963442899285,48.29,42.590775384445266
2025-09-07,46.6684407765125,45.3174346874158,23.758159502739158,48.29,40.630174249234074
2025-09-08,46.43367437650939,53.07668422722882,23.75520965023179,48.29,43.27474420504086
2025-09-09,49.04412104235202,51.12350642843598,23.781410076321595,48.29,43.3808160817386
2025-09-10,49.59962190649561,50.53938076100657,23.787125415554634,48.29,43.344451192189645
2025-09-11,50.303351388001516,43.72493832835098,23.79634370464018,48.29,41.17281975748335
2025-09-12,45.41029178586261,47.32000139568642,23.75963442899285,48.29,40.95399663149725
2025-09-13,48.18463378152026,48.87769624977239,23.75963442899285,48.29,42.33149242912463
2025-09-14,49.13438782188396,46.847902141093854,23.758159502739158,48.29,41.90562197163283
2025-09-15,49.43753343893239,47.89309800612978,23.75520965023179,48.29,42.361646746383094
2025-09-16,47.851506949020944,50.98618772787714,23.781410076321595,48.29,42.97497030854369
2025-09-17,45.75469585900939,44.26791831564268,23.787125415554634,48.29,39.99596152206642
2025-09-18,51.532569122641746,48.38936555767267,23.79634370464018,48.29,43.17413460813801
2025-09-19,46.99535942723639,41.22979523319165,23.75963442899285,48.29,39.29794476703621
2025-09-20,55.65735277394783,46.680699649105094,23.75963442899285,48.29,43.804359316619355
2025-09-21,48.549050451928906,39.56729037250177,23.758159502739158,48.29,39.181806641639085
2025-09-22,52.512064012387626,51.861459260493156,23.75520965023179,48.29,44.67293235744685
2025-09-23,50.74071617351469,52.78557340040231,23.781410076321595,48.29,44.471518061275624
2025-09-24,47.76186121835795,44.852389139016076,23.787125415554634,48.29,40.802675918051676
2025-09-25,49.53821853725761,46.98111119433547,23.79634370464018,48.29,42.08294040535475
2025-09-26,44.93843154027931,47.10537587557421,23.75963442899285,48.29,40.73731962578299
2025-09-27,41.823841323846196,50.581704804057516,23.75963442899285,48.29,41.01965768582221
2025-09-28,46.25205530428532,48.77069559327156,23.758159502739158,48.29,41.71389992461544
2025-09-29,43.37920778823213,46.47669972362637,23.75520965023179,48.29,40.04840965229682
2025-09-30,49.08754884799652,44.706506422756036,23.781410076321595,48.29,41.14789442144398
2025-10-01,64.6207610623857,57.88308278580366,23.787125415554634,63.45,51.937088647635655
2025-10-02,55.62594044457763,65.83868377576192,23.79634370464018,63.45,52.025407381050016
2025-10-03,65.60121681224851,65.46109808706962,23.75963442899285,63.45,54.87665798139714
2025-10-04,52.203693610943,60.2919049439347,23.75963442899285,63.45,49.048183420908266
2025-10-05,60.75562724097081,67.47419478797772,23.758159502739158,63.45,54.12719622376824
2025-10-06,52.12058045464479,61.04457186139274,23.75520965023179,63.45,49.285576700438845
2025-10-07,64.06985907320943,66.04301732832849,23.781410076321595,63.45,54.62636630595821
2025-10-08,58.07896635495693,69.35603531967011,23.787125415554634,63.45,53.990083622260286
2025-10-09,61.95921355480267,71.34386660476451,23.79634370464018,63.45,55.85220330426843
2025-10-10,70.45074113933515,60.11875638573192,23.75963442899285,63.45,54.46169568405494
2025-10-11,69.46436050885244,63.989121714334175,23.75963442899285,63.45,55.52040935992091
2025-10-12,71.09658987894059,64.95548253274497,23.758159502739158,63.45,56.3479357258277
2025-10-13,55.91885365196506,67.58226271736368,23.75520965023179,63.45,52.71325045922476
2025-10-14,55.43513320327532,61.13798027750623,23.781410076321595,63.45,50.31918557719018
2025-10-15,71.32880859366078,65.77868883132302,23.787125415554634,63.45,56.71296502294996
2025-10-16,70.31667249088623,64.65719241388346,23.79634370464018,63.45,56.01910501828513
2025-10-17,61.1884763996033,65.32466901279872,23.75963442899285,63.45,53.50508568160876
2025-10-18,60.500896534883005,56.25270637822123,23.75963442899285,63.45,50.123624800090546
2025-10-19,67.49025950256592,59.61820158423751,23.758159502739158,63.45,53.39798828093769
2025-10-20,58.729317742805556,66.94796034742825,23.75520965023179,63.45,53.3343838569995
2025-10-21,61.35518639286789,70.19343344760523,23.781410076321595,63.45,55.2646101436026
2025-10-22,64.08566403621143,65.4441136874589,23.787125415554634,63.45,54.422920355362706
2025-10-23,65.0238927970761,66.11510459904976,23.79634370464018,63.45,54.94154037495029
2025-10-24,61.1766429604282,60.46121489340205,23.75963442899285,63.45,51.79932670806739
2025-10-25,64.87109766741663,60.9253530429529,23.75963442899285,63.45,53.07011147250672
2025-10-26,63.905494757766895,60.28631328712369,23.758159502739158,63.45,52.55639795350815
2025-10-27,68.57028070784915,55.600281102601386,23.75520965023179,63.45,52.314985010823186
2025-10-28,59.6362847601774,62.261878987280596,23.781410076321595,63.45,51.97289559268183
2025-10-29,64.03544346489525,56.770022424283454,23.787125415554634,63.45,51.37192224185645
2025-10-30,61.078744107656036,65.70745014649685,23.79634370464018,63.45,53.61531670973076
2025-10-31,66.90275307304458,60.36544202730816,23.75963442899285,63.45,53.48363923871945
2025-11-01,71.10702196667151,65.29033643896645,23.75963442899285,74.75,57.59863295088793
2025-11-02,70.20062841010521,70.37910818712679,23.758159502739158,74.75,59.107416264210734
2025-11-03,71.75714546894721,82.006527069508,23.75520965023179,74.75,63.64323052756991
2025-11-04,80.63280633722354,75.87626367261755,23.781410076321595,74.75,64.16688670566361
2025-11-05,71.64967721941476,73.28285413623982,23.787125415554634,74.75,60.56568346739703
2025-11-06,79.8984702791044,68.77277075850922,23.79634370464018,74.75,61.4640967753696
2025-11-07,74.80281771149004,73.55346409061143,23.75963442899285,74.75,61.59946635240923
2025-11-08,71.03397493279184,76.44411656203285,23.75963442899285,74.75,61.480541883797265
2025-11-09,67.43858604628167,75.47554763066623,23.758159502739158,74.75,60.06255736030248
2025-11-10,77.65557213674191,81.898559133159,23.75520965023179,74.75,65.37496975018618
2025-11-11,68.86986990129445,76.4010863554956,23.781410076321595,74.75,60.8216937138922
2025-11-12,74.69534596036044,75.21690928553947,23.787125415554634,74.75,62.156303391935616
2025-11-13,71.37458755884032,73.27274250000391,23.79634370464018,74.75,60.48192206881352
2025-11-14,80.39997652214042,70.34323879385664,23.75963442899285,74.75,62.15503514174017
2025-11-15,76.73813897562496,81.40644463390905,23.75963442899285,74.75,64.92860592180388
